NO,Provinsi,Kota/Kabupaten,Kecamatan,Kelurahan,ODP
1,SULAWESI TENGAH,DONGGALA,BANAWA,LOLI PESUA,BANAWA - PALU
2,SULAWESI TENGAH,DONGGALA,BANAWA,LOLI SALURAN ,BANAWA - PALU
3,SULAWESI TENGAH,PALU,KAWATUNA,LASOANI,KAWATUNA - PALU
4,SULAWESI TENGAH,PALU,MANTIKULORE,KAWATUNA,MANTIKULORE - PALU
5,SULAWESI TENGAH,PALU,MANTIKULORE,LASOANI,MANTIKULORE - PALU
6,SULAWESI TENGAH,PALU,MANTIKULORE,TALISE,MANTIKULORE - PALU
7,SULAWESI TENGAH,PALU,MANTIKULORE,TANAMONINDI,MANTIKULORE - PALU
8,SULAWESI TENGAH,PALU,MANTIKULORE,TONDO,MANTIKULORE - PALU
9,SULAWESI TENGAH,SIGI,MARAWOLA ,BALIASE,MARAWOLA  - PALU
10,SULAWESI TENGAH,SIGI,MARAWOLA ,TINGGEDE,MARAWOLA  - PALU
11,SULAWESI TENGAH,PALU,PALU BARAT,DUYU,PALU BARAT - PALU
12,SULAWESI TENGAH,PALU,PALU BARAT,KAMONJI,PALU BARAT - PALU
13,SULAWESI TENGAH,PALU,PALU BARAT,LERE,PALU BARAT - PALU
14,SULAWESI TENGAH,PALU,PALU BARAT,SIRANINDI,PALU BARAT - PALU
15,SULAWESI TENGAH,PALU,PALU BARAT,BALAROA,PALU BARAT - PALU
16,SULAWESI TENGAH,PALU,PALU BARAT,BARU,PALU BARAT - PALU
17,SULAWESI TENGAH,PALU,PALU SELATAN ,BIROBULI SELATAN,PALU SELATAN  - PALU
18,SULAWESI TENGAH,PALU,PALU SELATAN ,BIROBULI UTARA,PALU SELATAN  - PALU
19,SULAWESI TENGAH,PALU,PALU SELATAN ,LOLU SELATAN,PALU SELATAN  - PALU
20,SULAWESI TENGAH,PALU,PALU SELATAN ,PETOBO,PALU SELATAN  - PALU
21,SULAWESI TENGAH,PALU,PALU SELATAN ,TANAMONINDI,PALU SELATAN  - PALU
22,SULAWESI TENGAH,PALU,PALU SELATAN ,TATURA SELATAN,PALU SELATAN  - PALU
23,SULAWESI TENGAH,PALU,PALU SELATAN ,TATURA UTARA,PALU SELATAN  - PALU
24,SULAWESI TENGAH,PALU,PALU TIMUR,BESUSU BARAT,PALU TIMUR - PALU
25,SULAWESI TENGAH,PALU,PALU TIMUR,BESUSU TIMUR,PALU TIMUR - PALU
26,SULAWESI TENGAH,PALU,PALU TIMUR,LOLU SELATAN,PALU TIMUR - PALU
27,SULAWESI TENGAH,PALU,PALU TIMUR,LOLU UTARA,PALU TIMUR - PALU
28,SULAWESI TENGAH,PALU,PALU TIMUR,BESUSU TENGAH,PALU TIMUR - PALU
29,SULAWESI TENGAH,PALU,PALU UTARA,MAMBORO,PALU UTARA - PALU
30,SULAWESI TENGAH,PALU,PALU UTARA,TAIPA,PALU UTARA - PALU
31,SULAWESI TENGAH,SIGI,SIGI BIROMARU,KALUKUBULA,SIGI BIROMARU - PALU
32,SULAWESI TENGAH,SIGI,SIGI BIROMARU,MPANAU,SIGI BIROMARU - PALU
33,SULAWESI TENGAH,SIGI,SIGI BIROMARU,MPANAU,SIGI BIROMARU - PALU
34,SULAWESI TENGAH,PALU,TATANGA,BOYAOGE,TATANGA - PALU
35,SULAWESI TENGAH,PALU,TATANGA,DUYU,TATANGA - PALU
36,SULAWESI TENGAH,PALU,TATANGA,NUNU,TATANGA - PALU
37,SULAWESI TENGAH,PALU,TATANGA,PALUPI,TATANGA - PALU
38,SULAWESI TENGAH,PALU,TATANGA,TAVANJUKA,TATANGA - PALU
39,SULAWESI TENGAH,PALU,TATANGA,PENGAWU,TATANGA - PALU
40,SULAWESI TENGAH,PARIGI MOUTONG,TORUE,TOLAI,TORUE - PALU
41,SULAWESI TENGAH,PALU,ULUJADI,DONGGALA KODI,ULUJADI - PALU
42,SULAWESI TENGAH,PALU,ULUJADI,KABUNENA,ULUJADI - PALU
43,SULAWESI TENGAH,PALU,ULUJADI,SILAEI,ULUJADI - PALU
44,SULAWESI TENGAH,PALU,ULUJADI,TIPO,ULUJADI - PALU
45,SULAWESI TENGAH,PALU,ULUJADI,WATUSAMPU,ULUJADI - PALU
46,SULAWESI TENGAH,PALU,ULUJADI,BULURI,ULUJADI - PALU
